Provider,model_risk_score,PotentialFraud,explanation,explanation_count
PRV56647,0.9988,1,"Avg reimbursement per claim ($7,043) is 19.8x the overall median ($356); Inpatient ratio (0.66) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($8,056) is 14.9x median — may indicate unnecessary services",3
PRV51868,0.9987,1,"Avg reimbursement per claim ($7,637) is 21.4x the overall median ($356); Inpatient ratio (0.69) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($8,941) is 16.5x median — may indicate unnecessary services",3
PRV53712,0.9986,1,"Avg reimbursement per claim ($7,943) is 22.3x the overall median ($356); Inpatient ratio (0.68) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 237 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($8,964) is 16.5x median — may indicate unnecessary services",4
PRV55435,0.9985,1,"Avg reimbursement per claim ($8,278) is 23.2x the overall median ($356); Inpatient ratio (0.85) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($9,192) is 17.0x median — may indicate unnecessary services",3
PRV51378,0.9985,1,"Avg reimbursement per claim ($7,549) is 21.2x the overall median ($356); Inpatient ratio (0.67) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($8,807) is 16.3x median — may indicate unnecessary services",3
PRV51149,0.9984,1,"Avg reimbursement per claim ($7,572) is 21.3x the overall median ($356); Inpatient ratio (0.78) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($8,240) is 15.2x median — may indicate unnecessary services",3
PRV52123,0.9982,1,"Avg reimbursement per claim ($5,653) is 15.9x the overall median ($356); Inpatient ratio (0.63) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 256 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($6,548) is 12.1x median — may indicate unnecessary services",4
PRV54955,0.9981,1,"Avg reimbursement per claim ($6,799) is 19.1x the overall median ($356); Inpatient ratio (0.65) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 314 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($7,116) is 13.1x median — may indicate unnecessary services",4
PRV54742,0.998,1,"Avg reimbursement per claim ($1,570) is 4.4x the overall median ($356); Provider submits 1,892 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($2,757) is 5.1x median — may indicate unnecessary services",3
PRV51369,0.9948,1,"Provider submits 2,083 total claims, above the 90th percentile (228) — elevated billing volume",1
PRV51347,0.9945,1,"Provider submits 2,067 total claims, above the 90th percentile (228) — elevated billing volume",1
PRV51145,0.9942,1,"Avg reimbursement per claim ($7,952) is 22.3x the overall median ($356); Inpatient ratio (0.80) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($9,795) is 18.1x median — may indicate unnecessary services",3
PRV57548,0.994,1,"Avg reimbursement per claim ($5,091) is 14.3x the overall median ($356); Reimbursement per beneficiary ($5,874) is 10.8x median — may indicate unnecessary services",2
PRV55689,0.9939,1,"Avg reimbursement per claim ($2,126) is 6.0x the overall median ($356); Provider submits 577 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($2,999) is 5.5x median — may indicate unnecessary services",3
PRV56560,0.9937,1,"Avg reimbursement per claim ($1,389) is 3.9x the overall median ($356); Provider submits 2,313 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($3,074) is 5.7x median — may indicate unnecessary services",3
PRV52114,0.9937,1,"Avg reimbursement per claim ($1,118) is 3.1x the overall median ($356); Provider submits 1,269 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($2,086) is 3.9x median — may indicate unnecessary services",3
PRV51390,0.9937,1,"Avg reimbursement per claim ($5,845) is 16.4x the overall median ($356); Inpatient ratio (0.60) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 275 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($6,353) is 11.7x median — may indicate unnecessary services",4
PRV52077,0.9936,1,"Avg reimbursement per claim ($1,180) is 3.3x the overall median ($356); Provider submits 1,156 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($1,812) is 3.3x median — may indicate unnecessary services",3
PRV54894,0.9934,1,"Avg reimbursement per claim ($7,673) is 21.5x the overall median ($356); Inpatient ratio (0.60) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 229 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($8,367) is 15.4x median — may indicate unnecessary services",4
PRV51471,0.9933,1,"Avg reimbursement per claim ($8,901) is 25.0x the overall median ($356); Inpatient ratio (0.89) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($9,261) is 17.1x median — may indicate unnecessary services",3
PRV51244,0.9932,1,"Avg reimbursement per claim ($1,522) is 4.3x the overall median ($356); Provider submits 1,415 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($2,861) is 5.3x median — may indicate unnecessary services",3
PRV52340,0.9929,1,"Avg reimbursement per claim ($1,457) is 4.1x the overall median ($356); Provider submits 1,743 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($3,175) is 5.9x median — may indicate unnecessary services",3
PRV55019,0.9894,1,"Avg reimbursement per claim ($6,516) is 18.3x the overall median ($356); Provider submits 285 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($7,936) is 14.7x median — may indicate unnecessary services",3
PRV53918,0.9893,1,"Provider submits 3,588 total claims, above the 90th percentile (228) — elevated billing volume",1
PRV54367,0.9892,1,"Avg reimbursement per claim ($4,927) is 13.8x the overall median ($356); Provider submits 636 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($5,517) is 10.2x median — may indicate unnecessary services",3
PRV53797,0.9892,1,"Provider submits 4,739 total claims, above the 90th percentile (228) — elevated billing volume",1
PRV52846,0.9891,1,"Avg reimbursement per claim ($8,784) is 24.7x the overall median ($356); Inpatient ratio (0.73) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 241 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($9,451) is 17.4x median — may indicate unnecessary services",4
PRV51480,0.9891,1,"Provider submits 1,924 total claims, above the 90th percentile (228) — elevated billing volume",1
PRV52903,0.9886,1,"Avg reimbursement per claim ($7,841) is 22.0x the overall median ($356); Inpatient ratio (0.83) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($8,210) is 15.2x median — may indicate unnecessary services",3
PRV51836,0.9884,1,"Provider submits 1,794 total claims, above the 90th percentile (228) — elevated billing volume",1
PRV56416,0.9884,1,"Avg reimbursement per claim ($1,724) is 4.8x the overall median ($356); Provider submits 1,592 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($3,423) is 6.3x median — may indicate unnecessary services",3
PRV53421,0.9883,1,"Avg reimbursement per claim ($7,751) is 21.8x the overall median ($356); Inpatient ratio (0.74) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($9,008) is 16.6x median — may indicate unnecessary services",3
PRV57502,0.9881,1,"Avg reimbursement per claim ($4,606) is 12.9x the overall median ($356); Provider submits 260 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($5,011) is 9.3x median — may indicate unnecessary services",3
PRV53706,0.9875,1,"Avg reimbursement per claim ($5,987) is 16.8x the overall median ($356); Inpatient ratio (0.60) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 473 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($6,335) is 11.7x median — may indicate unnecessary services",4
PRV52985,0.9874,1,"Avg reimbursement per claim ($1,226) is 3.4x the overall median ($356); Provider submits 1,403 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($3,094) is 5.7x median — may indicate unnecessary services",3
PRV54350,0.9869,1,"Avg reimbursement per claim ($953) is 2.7x the overall median ($356); Provider submits 1,495 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($2,461) is 4.5x median — may indicate unnecessary services",3
PRV52021,0.9852,1,"Avg reimbursement per claim ($3,184) is 8.9x the overall median ($356); Provider submits 613 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($3,412) is 6.3x median — may indicate unnecessary services",3
PRV52574,0.9837,1,"Avg reimbursement per claim ($5,922) is 16.6x the overall median ($356); Provider submits 259 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($7,304) is 13.5x median — may indicate unnecessary services",3
PRV55230,0.9834,1,"Avg reimbursement per claim ($4,624) is 13.0x the overall median ($356); Provider submits 565 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($5,005) is 9.2x median — may indicate unnecessary services",3
